"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"1304","Corporate Lifestyle Simulator","Feb 25, 2014","N/A","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","DolphinBarn","DolphinBarn"
"1306","Hard Truck Apocalypse: Rise Of Clans / Ex Machina: Meridian 113","Mar 14, 2014","$5.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Targem Games","ESDigital Games"
"1307","Super Win the Game","Oct 1, 2014","$7.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Minor Key Games","Minor Key Games"
"1308","Velocibox","Sep 8, 2014","$5.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Shawn Beck","Shawn Beck"
"1312","Freddi Fish and the Case of the Missing Kelp Seeds","Apr 17, 2014","$6.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Humongous Entertainment","Humongous Entertainment, Nightdive Studios"
"1313","EvilQuest","Feb 20, 2014","$1.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Chaosoft Games","Chaosoft Games"
"1314","WORLD END ECONOMiCA episode.01","Jun 17, 2014","$12.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Spicy Tails","Sekai Project"
"1316","Knightmare Tower","Jun 16, 2014","$3.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Juicy Beast","Juicy Beast"
"1326","STARWHAL","Sep 29, 2014","$11.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Breakfall","Breakfall"
"1327","Signs of Life","Jan 27, 2014","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Sweet Dog Studios","Sweet Dog Studios"
"1328","Disney Epic Mickey 2: The Power of Two","Oct 6, 2014","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Junction Point","Disney"
"1333","Dandelion - Wishes brought to you -","Sep 29, 2014","$29.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Sujin Ri, Marcos Arroyo, Seona Lee, Somi Lee, Sohyeon Jeon","Cheritz"
"1337","Mechanic Escape","Apr 15, 2014","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Slak Games","Plug In Digital"
"1339","Enemy Mind","Jun 6, 2014","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Schell Games","Schell Games"
"1341","Halfway","Jul 22, 2014","$12.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Robotality","Chucklefish"
"1359","Blackwell Epiphany","Apr 24, 2014","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Wadjet Eye Games","Wadjet Eye Games"
"1371","Cosmic DJ","Oct 30, 2014","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Gl33k","Devolver Digital"
"1382","LOVE","Feb 7, 2014","$2.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Fred Wood","Fred Wood"
"1392","Momodora III","Jul 1, 2014","$1.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","rdein","rdein"
"1393","Super Trench Attack!","Jul 24, 2014","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Retro Army Limited","paulstephendavis"
"1411","Max: The Curse of Brotherhood","May 21, 2014","$14.99","N/A (N/A)","50,000 .. 100,000","00:33 (00:16)","Press Play","Xbox Game Studios"
"1426","Haunt the House: Terrortown","Jun 6, 2014","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","SFB Games","SFB Games"
"1435","Choice of Robots","Dec 19, 2014","$6.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Choice of Games","Choice of Games"
"1436","Crimson Imprint plus -Nonexistent Christmas-","Feb 14, 2014","$1.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Hollowings","Hollowings"
"1","Freespace 2","Jun 6, 2014","$9.99","N/A (N/A/91%)","20,000 .. 50,000","00:00 (00:00)","Volition Inc","Interplay Corp"
"34","Sokobond","Jul 21, 2014","$3.74","N/A (N/A/82%)","20,000 .. 50,000","00:01 (00:00)","Alan Hazelden, Lee Shang Lun","Draknek"
"64","Battle Academy 2: Eastern Front","Sep 12, 2014","$39.99","N/A (N/A/78%)","20,000 .. 50,000","00:00 (00:00)","Slitherine Ltd.","Slitherine Ltd."
"77","Salammbô: Battle for Carthage","May 30, 2014","$4.99","N/A (N/A/77%)","20,000 .. 50,000","00:00 (00:00)","Cryo Interactive","Microids"
"79","rymdkapsel","Jan 30, 2014","$7.99","N/A (N/A/77%)","20,000 .. 50,000","00:00 (00:00)","grapefrukt games","grapefrukt games"
"89","Haunted","Aug 18, 2014","$14.99","N/A (N/A/76%)","20,000 .. 50,000","00:00 (00:00)","dtp Entertainment","Viva Media"
"100","Fenix Rage","Sep 24, 2014","$14.99","N/A (N/A/75%)","20,000 .. 50,000","00:00 (00:00)","Green Lava Studios","Reverb Triple XP"
"105","Roundabout","Sep 18, 2014","$9.99","N/A (N/A/75%)","20,000 .. 50,000","00:00 (00:00)","No Goblin","No Goblin"
"113","Where is my Heart?","May 29, 2014","$7.99","N/A (N/A/74%)","20,000 .. 50,000","00:00 (00:00)","Schulenburg Software","Die Gute Fabrik"
"114","Bad Mojo Redux","Jul 3, 2014","$5.99","N/A (N/A/74%)","20,000 .. 50,000","00:00 (00:00)","Pulse Entertainment","Nightdive Studios"
"115","Shadows: Heretic Kingdoms","Nov 20, 2014","$29.99","N/A (N/A/74%)","20,000 .. 50,000","00:00 (00:00)","Games Farm","Kalypso Media Digital"
"116","Drox Operative","Feb 18, 2014","$19.99","N/A (N/A/74%)","20,000 .. 50,000","00:00 (00:00)","Soldak Entertainment","Soldak Entertainment"
"139","Full Bore","May 6, 2014","$14.99","N/A (N/A/72%)","20,000 .. 50,000","00:00 (00:00)","Whole Hog Games","Nkidu Games Inc."
"140","Blood II: The Chosen + Expansion","Jul 14, 2014","$4.99","N/A (N/A/72%)","20,000 .. 50,000","00:00 (00:00)","Monolith Productions","Atari"
"141","MouseCraft","Jul 8, 2014","$9.99","N/A (N/A/72%)","20,000 .. 50,000","00:00 (00:00)","Crunching Koalas","Crunching Koalas"
"142","Qvadriga","Jun 13, 2014","$19.99","N/A (N/A/72%)","20,000 .. 50,000","00:00 (00:00)","Turnopia","Slitherine Ltd."
"164","Poltergeist: A Pixelated Horror","Oct 20, 2014","$9.99","N/A (N/A/70%)","20,000 .. 50,000","00:00 (00:00)","Glitchy Pixel","Glitchy Pixel"
"166","Echelon","Jul 3, 2014","$0.99","N/A (N/A/70%)","20,000 .. 50,000","00:00 (00:00)","MADia Entertainment","ESDigital Games"
"182","Eurofighter Typhoon","May 2, 2014","$2.99","N/A (N/A/69%)","20,000 .. 50,000","00:00 (00:00)","Rage Software","Funbox Media Ltd"
"183","Panzer Tactics HD","May 22, 2014","$9.99","N/A (N/A/69%)","20,000 .. 50,000","00:00 (00:00)","Sproing","THQ Nordic"
"191","Kromaia","Oct 23, 2014","$19.99","N/A (N/A/68%)","20,000 .. 50,000","00:00 (00:00)","Kraken Empire","Kraken Empire"
"194","A Golden Wake","Oct 9, 2014","$9.99","N/A (N/A/68%)","20,000 .. 50,000","00:00 (00:00)","Grundislav Games","Grundislav Games"
"195","Runers","Sep 2, 2014","$9.99","N/A (N/A/68%)","20,000 .. 50,000","00:00 (00:00)","LGK Games","Mastertronic"
"197","Pure Pool","Jul 31, 2014","$9.99","N/A (N/A/68%)","20,000 .. 50,000","00:00 (00:00)","VooFoo Studios","Ripstone"
"219","Concursion","Jun 6, 2014","$4.99","N/A (N/A/66%)","20,000 .. 50,000","00:00 (00:00)","Puuba","Puuba"
"220","The Cameron Files: The Secret at Loch Ness","Jul 18, 2014","$2.99","N/A (N/A/66%)","20,000 .. 50,000","00:00 (00:00)","Microids","Microids"
"239","Cold War","Jan 8, 2014","$4.99","N/A (N/A/64%)","20,000 .. 50,000","00:00 (00:00)","Mindware Studios","THQ Nordic"
"241","Eidolon","Aug 1, 2014","$15","N/A (N/A/64%)","20,000 .. 50,000","00:00 (00:00)","Badru, Michael Bell, Zoe Vartanian, Adam Murgittroyd, Meagan Malone, Jeffrey Klinicke, Shadie Hijazi, Jacob Leach, Aron Miller, Isa Hutchinson","Ice Water Games"
"246","Echelon: Wind Warriors","Aug 8, 2014","$0.99","N/A (N/A/63%)","20,000 .. 50,000","00:00 (00:00)","MADia Entertainment","ESDigital Games"
"249","Disney Alice in Wonderland","Oct 6, 2014","$19.99","N/A (N/A/63%)","20,000 .. 50,000","00:00 (00:00)","Etranges Libellules Studios","Disney"
"251","Sneaky Sneaky","Nov 12, 2014","$4.99","N/A (N/A/63%)","20,000 .. 50,000","00:00 (00:00)","Naiad Entertainment LLC","Naiad Entertainment LLC"
"255","Chess 2: The Sequel","Aug 19, 2014","$5.99","N/A (N/A/62%)","20,000 .. 50,000","00:00 (00:00)","Ludeme Games, Sirlin Games","Ludeme Games"
"258","Dominique Pamplemousse","Mar 11, 2014","$0.99","N/A (N/A/62%)","20,000 .. 50,000","00:00 (00:00)","Squinkifer Productions","Squinkifer Productions"
"259","Buzz Aldrin's Space Program Manager","Oct 31, 2014","$29.99","N/A (N/A/62%)","20,000 .. 50,000","00:00 (00:00)","Polar Motion","Slitherine Ltd."
"260","The Old City: Leviathan","Dec 3, 2014","$5.99","N/A (N/A/62%)","20,000 .. 50,000","00:00 (00:00)","PostMod Softworks","PostMod Softworks"
"280","Schrodinger’s Cat And The Raiders Of The Lost Quark","Sep 23, 2014","$9.99","N/A (N/A/59%)","20,000 .. 50,000","00:00 (00:00)","Italic Pig Limited","Italic Pig Limited"
"281","Journal","Feb 17, 2014","$9.99","N/A (N/A/59%)","20,000 .. 50,000","00:00 (00:00)","Locked Door Puzzle","Lupus Studios Limited"
"286","The Castle Doctrine","Jan 29, 2014","$3.99","N/A (N/A/58%)","20,000 .. 50,000","00:00 (00:00)","Jason Rohrer","Jason Rohrer"
"294","BeatBlasters III","Feb 21, 2014","$9.99","N/A (N/A/56%)","20,000 .. 50,000","00:00 (00:00)","Chainsawesome Games","Chainsawesome Games"
"296","Infinity Runner","Jul 14, 2014","$6.99","N/A (N/A/56%)","20,000 .. 50,000","00:00 (00:00)","Wales Interactive","Wales Interactive"
"297","[Old Edition] Croixleur Sigma","Apr 30, 2014","N/A","N/A (N/A/56%)","20,000 .. 50,000","00:00 (00:00)","souvenir circ.","PLAYISM"
"324","Majestic Nights","Oct 30, 2014","$4.99","N/A (N/A/32%)","20,000 .. 50,000","00:00 (00:00)","Epiphany Games","Epiphany Games"
"346","Cakewalk Loop Manager","Jun 17, 2014","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Cakewalk","Cakewalk"
"353","Crunch Time!","Dec 31, 2014","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","David Teruel","David Teruel"
"354","Psichodelya","Aug 8, 2014","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ennoble Studios","KISS ltd"
"356","Farm Machines Championships 2014","Mar 14, 2014","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Silden","Silden"
"357","Sentinel","Apr 22, 2014","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Matthew Brown","Matthew Brown"
"358","Mathoria: It All Adds Up","Dec 27, 2014","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Senshi.Labs","Senshi.Labs"
"359","Baezult","Oct 3, 2014","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Atapki","Atapki"
"363","Gates of Horizon","Dec 18, 2014","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Hex Keep","Hex Keep"
"364","Q*bert: Rebooted","Jul 1, 2014","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sideline Amusements, Gonzo Games","Sideline Amusements, Gonzo Games"
"368","Lamia Must Die","Feb 17, 2014","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Tuomo Laine","Tuomo Laine"
"374","Gunhound EX","May 1, 2014","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Dracue, Co. ltd","AGM PLAYISM"
"375","Pixel Boy and the Ever Expanding Dungeon","May 30, 2014","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Giant Box Games","Giant Box Games"
"376","Ascendant","May 13, 2014","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Hapa Games","Hapa Games"
"380","FIST OF AWESOME","Jul 3, 2014","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","I Fight Bears","I Fight Bears"
"383","Verde Station","Sep 26, 2014","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Duelboot","Duelboot"
"385","Depths of Fear :: Knossos","Apr 24, 2014","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Dirigo Games","Digital Tribe"
"388","Vlad the Impaler","Jul 17, 2014","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Section Studios","Section Studios"
"390","TUG","Mar 28, 2014","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Nerd Kingdom Inc.","Nerd Kingdom Inc."
"391","T.E.C. 3001","Apr 10, 2014","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Phoenix Game Studio","BulkyPix"
"396","Command: Modern Air / Naval Operations WOTY","Sep 26, 2014","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","WarfareSims","Slitherine Ltd."
"397","Perpetuum","Oct 17, 2014","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Avatar Creations","Gamestorm Ltd"
"463","Galactic Command Echo Squad SE","Mar 10, 2014","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","3000AD","3000AD"
"487","Crime Solitaire 2: The Smoking Gun","Aug 4, 2014","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Desktop Gaming","Desktop Gaming"
"491","Frontline : Longest Day","Dec 9, 2014","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","88mm","Slitherine Ltd."
"510","Space Galaxy - Graphics Pack","Aug 22, 2014","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Roencia","Roencia Game Creators"
"516","Baron Wittard","Apr 24, 2014","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Wax Lyrical Games","Wax Lyrical Games"
"517","Run For Rum","Jul 2, 2014","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Reload Game Studio","Strategy First"
"519","Pirate Hell","Nov 7, 2014","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sascha Hartleb","Sascha Hartleb"
"525","Tales From The Dragon Mountain 2: The Lair","Mar 13, 2014","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Cateia Games","Cateia Games"
"532","The Flying Dutchman","Sep 12, 2014","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Snack Games","Strategy First"
"538","The Secret Of Hildegards","Mar 27, 2014","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Komar Games","Libredia"
"540","Tesla Breaks the World!","Nov 26, 2014","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Archetype Global","Archetype Global"
"543","Boot Hill Blaster","Oct 28, 2014","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Fascimania","Fascimania"
"547","Crazy Machines: Golden Gears","Mar 27, 2014","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","FAKT Software Gmbh","Viva Media Inc"
"553","WorldCreator","Jan 1, 2014","$69.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Johannes Rosenberg, Stefan Kraus, Timo Armbruster","BiteTheBytes GmbH"
"554","Mavis Beacon Teaches Typing Family Edition","Mar 14, 2014","$29.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Bytes of Learning","Encore"
"555","Snowcat Simulator","Nov 26, 2014","$0.79","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","United Independent Entertainment","United Independent Entertainment"
"567","Dangerous","Dec 16, 2014","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Binary Helix","XP"
"573","Smugglers 5: Invasion","Oct 16, 2014","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Niels Bauer Games","Niels Bauer Games"
"574","Storm over the Pacific","Jun 13, 2014","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Wastelands Interactive","Conglomerate 5"
"575","4x4 Dream Race","Jul 15, 2014","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Dream Up","Strategy First"
"576","Them - The Summoning","May 16, 2014","$0.59","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Gamatic","United Independent Entertainment"
"577","Aviator - Bush Pilot","Nov 4, 2014","$0.74","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Netmin Games","United Independent Entertainment"
"578","The Tower","Aug 4, 2014","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Narrow Monolith","Narrow Monolith"
"579","Wing IDE 5","Apr 30, 2014","$79.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Wingware","Wingware"
"582","Luna: Shattered Hearts: Episode 1","Nov 24, 2014","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Daniel Gill","Gillis LLC"
"583","1953: NATO vs Warsaw Pact","Dec 4, 2014","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Wastelands Interactive","Conglomerate 5"
"592","Ground Pounders","Jul 15, 2014","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Kerberos Productions Inc.","Kerberos Productions Inc."
"593","Blinding Dark","Aug 12, 2014","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Games Hut","BulkyPix"
"594","Rube Works: The Official Rube Goldberg Invention Game","Apr 22, 2014","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Electric Eggplant, Kalani Games, Inc., HRG (Heirs of Rube Goldberg), Unity Games","Electric Eggplant"
"597","Super Chain Crusher Horizon","Sep 2014","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Mindware Co.,Ltd.","Mindware Co.,Ltd."
"603","Shannon Tweed's Attack Of The Groupies","Apr 1, 2014","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Gogii Games","Strategy First"
"609","QUALIA 3: Multi Agent","Apr 18, 2014","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Shindenken, EXTREME","KOMODO, MASAYA GAMES"
"610","Legends of Persia","Jun 3, 2014","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sourena Game Studio","Plug In Digital"
"615","Ku: Shroud of the Morrigan","Mar 17, 2014","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","bitSmith Games","bitSmith Games"
"620","Railroad X","Jun 9, 2014","$16.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","TREND, Soft Pro","Koch Media"
"623","Red Johnson's Chronicles - 1+2 - Steam Special Edition","Sep 5, 2014","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Lexis Numérique","Microids"
"624","C-RUSH","Feb 17, 2014","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Artnumeris","Artnumeris"
"627","BloodNet","Oct 17, 2014","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","MicroProse Software, Inc","Atari, Nightdive Studios"
"629","Hell","Nov 13, 2014","$29.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Hunted Cow Studios","Slitherine Ltd."
"640","Legions of Ashworld","Jul 4, 2014","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Jugilus","Wastelands Interactive"
"641","Rex Nebular and the Cosmic Gender Bender","Oct 17, 2014","$3.49","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","MicroProse Software, Inc.","Atari, Nightdive Studios"
"643","Bionic Heart 2","Sep 22, 2014","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Winter Wolves","Winter Wolves"
"644","Legionwood 2: Rise of the Eternal's Realm - Director's Cut","Feb 28, 2014","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Dark Gaia Studios","KOMODO"
"649","Train Simulator: NEC: New York-New Haven Route Add-On","Apr 10, 2014","$24.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Dovetail Games","Dovetail Games - Trains"
"653","BlackShadows","Jul 1, 2014","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","IceGames Studios","David OReilly"
"661","MotoGP14 Compact","Nov 21, 2014","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"662","Black Viper: Sophia's Fate","Sep 5, 2014","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","TiconBlu","Microids Indie"
"664","Dark Raid","Jun 3, 2014","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Vector Games","Vector Games"
"667","Dragonsphere","Oct 17, 2014","$3.49","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","MPS Labs","Atari, Nightdive Studios"
"675","Viking Brothers","Apr 23, 2014","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Alawar, Whalebox Studio","Viva Media Inc"
"681","Black Rainbow Mystery","Apr 30, 2014","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Cateia Games","Cateia Games"
"682","Jane Angel: Templar Mystery","Sep 17, 2014","$2.74","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","iMaxGen","HH-Games, Shaman Games Studio"
"683","Pro Rugby Manager 2015","Sep 18, 2014","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Cyanide","505 Games"
"685","Save the Furries","Oct 10, 2014","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Smack Down Productions","N.INDIES"
"687","Obludia","Jul 18, 2014","$1.49","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","FobTi interactive","FobTi interactive"
"690","Construction Machines 2014","Mar 28, 2014","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","GameCask","GameCask"
"693","Runaway Express Mystery","Sep 23, 2014","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Icarus Games","Libredia"
"694","Rock Zombie","Nov 20, 2014","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Miguel G. Corchero","Abylight Studios"
"695","Millennium 5 - The Battle of the Millennium","Nov 7, 2014","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Aldorlea Games","Aldorlea Games"
"698","Frontline : Road to Moscow","Aug 8, 2014","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","88mm","Slitherine Ltd."
"699","Orc Attack: Flatulent Rebellion","May 15, 2014","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Casual Brothers","Casual Brothers"
"707","Moorhuhn / Crazy Chicken Tales","Sep 30, 2014","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Coreplay","Libredia"
"709","Alcatraz Builder","Oct 24, 2014","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Little World Studio","M.INDIE"
"711","Hippocampal: The White Sofa","May 27, 2014","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Freegamer","Strategy First"
"712","I Am Vegend - Zombiegeddon","May 22, 2014","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Appmania/i-Free","Libredia"
"714","Motorcycle Club","Nov 28, 2014","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Kylotonn Entertainment","Nacon, Plug In Digital"
"718","Fabula Mortis","Oct 27, 2014","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Deadghost Interactive","Deadghost Interactive"
"721","Millennium 4 - Beyond Sunset","Sep 19, 2014","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Aldorlea Games","Aldorlea Games"
"722","Midnight Mysteries: Witches of Abraham - Collector's Edition","Nov 24, 2014","$13.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Hot Lava","MumboJumbo"
"723","Trainz Trouble","Aug 26, 2014","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","N3V Games","N3V Games"
"724","300 Dwarves","Jun 5, 2014","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Artifex Mundi","Viva Media, Inc"
"725","Galactic Arms Race","May 31, 2014","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Evolutionary Games","Evolutionary Games"
"726","Wildlife Park 2 - Fantasy","Jul 17, 2014","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","b-alive gmbh","b-alive gmbh"
"730","Desert Ashes","Nov 10, 2014","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Nine Tales Digital","Nine Tales Digital"
"731","Deadlock: Planetary Conquest","Oct 23, 2014","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Accolade, Inc.","Atari, Nightdive Studios"
"733","Gunship!","Jul 11, 2014","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Microprose","Atari"
"734","World Truck Racing","Sep 16, 2014","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Homa Design","SIG Publishing"
"735","Spice Road","Apr 24, 2014","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Aartform Games","Aartform Games"
"737","Meadowland","Oct 22, 2014","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Mårten Jonsson","PLAYISM"
"739","Millennium 3 - Cry Wolf","Aug 29, 2014","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Aldorlea Games","Aldorlea Games"
"743","Catmouth Island","Dec 31, 2014","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Colonthree Enterprises","Colonthree Enterprises"
"744","Bik - A Space Adventure","Oct 14, 2014","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Zotnip","Zotnip"
"746","Pajama Sam: Games to Play on Any Day","Oct 23, 2014","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Humongous Entertainment","Humongous Entertainment, Nightdive Studios"
"747","Mythos: The Beginning - Director's Cut","Oct 27, 2014","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Dark Gaia Studios","KOMODO"
"748","Escape The Lost Kingdom: The Forgotten Pharaoh","Apr 29, 2014","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Gogii Games","Strategy First"
"749","Millionaire Manor","May 15, 2014","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Gogii Games","Strategy First"
"752","Coldfire Keep","May 9, 2014","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Steve Jarman","Steve Jarman"
"754","The Great Jitters: Pudding Panic","May 15, 2014","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","kunst-stoff GmbH","kunst-stoff GmbH"
"755","Wildlife Park 2 - Dino World","Jul 17, 2014","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","b-alive gmbh","b-alive gmbh"
